,withoutThreshold,withThreshold,thresholdValue
278,7141,376672,225
279,30349,376672,225
280,263277,376672,225
281,1058,376672,225
282,257687,376672,225
283,182283,376672,225
284,74539,376672,225
285,134092,376672,225
286,113552,376672,225
287,115094,376672,225
288,18603,376672,225
289,20333,376672,225
290,27765,376672,225
291,283,376672,225
292,12323,376672,225
293,3067,376672,225
294,130086,376672,225
295,178908,376672,225
296,164925,376672,225
297,151096,376672,225
298,25106,376672,225
299,19652,376672,225
300,156415,417022,250
301,72877,417022,250
302,192149,417022,250
303,146827,417022,250
304,308443,417022,250
305,195293,417022,250
306,25625,417022,250
307,65492,417022,250
308,10703,417022,250
309,15584,417022,250
310,1016,417022,250
311,3012,417022,250
312,222306,417022,250
313,3239,417022,250
314,186432,417022,250
315,438995,417022,250
316,67330,417022,250
317,65021,417022,250
318,69702,417022,250
319,21667,417022,250
320,37174,417022,250
321,71803,417022,250
322,148989,417022,250
323,210681,417022,250
324,103268,417022,250
325,165148,417022,250
326,4839,417022,250
327,367823,417022,250
328,93672,417022,250
329,2753,417022,250
330,10115,417022,250
331,77666,417022,250
332,73659,417022,250
333,31831,417022,250
334,33813,417022,250
335,89933,417022,250
336,36000,417022,250
337,228451,417022,250
338,2537,417022,250
339,127450,417022,250
340,155767,417022,250
341,382801,417022,250
342,137152,417022,250
343,235966,417022,250
344,4933,417022,250
345,111015,417022,250
346,1963,417022,250
347,30,417022,250
348,393763,417022,250
349,182903,417022,250
350,48788,367589,275
351,46766,367589,275
352,4192,367589,275
353,56261,367589,275
354,8853,367589,275
355,104123,367589,275
356,23072,367589,275
357,470854,367589,275
358,19899,367589,275
359,448616,367589,275
360,121586,367589,275
361,148366,367589,275
362,24733,367589,275
363,65589,367589,275
364,40144,367589,275
365,185237,367589,275
366,166380,367589,275
367,53636,367589,275
368,53862,367589,275
369,54801,367589,275
370,78701,367589,275
371,75574,367589,275
372,241100,367589,275
373,156961,367589,275
374,66431,367589,275
375,100038,367589,275
376,67624,367589,275
377,83848,367589,275
378,2069,367589,275
379,476520,367589,275
380,188399,367589,275
381,4980,367589,275
382,188350,367589,275
383,47744,367589,275
384,114226,367589,275
385,22242,367589,275
386,160203,367589,275
387,335779,367589,275
388,267315,367589,275
389,33579,367589,275
390,80231,367589,275
391,9136,367589,275
392,263376,367589,275
393,164410,367589,275
394,32604,367589,275
395,69474,367589,275
396,28590,367589,275
397,1734,367589,275
398,68936,367589,275
399,9521,367589,275
400,15073,353455,300
401,6269,353455,300
402,127175,353455,300
403,106641,353455,300
404,9741,353455,300
405,189094,353455,300
406,124743,353455,300
407,9712,353455,300
408,39256,353455,300
409,187980,353455,300
410,344141,353455,300
411,355593,353455,300
412,2140,353455,300
413,12810,353455,300
414,36425,353455,300
415,58009,353455,300
416,225410,353455,300
417,51131,353455,300
418,26410,353455,300
419,14443,353455,300
420,18444,353455,300
421,264,353455,300
422,396760,353455,300
423,91527,353455,300
424,13400,353455,300
425,200550,353455,300
426,58298,353455,300
427,221836,353455,300
428,7422,353455,300
429,103003,353455,300
430,13731,353455,300
431,55547,353455,300
432,44652,353455,300
433,17034,353455,300
434,69912,353455,300
435,91581,353455,300
436,32646,353455,300
437,7438,353455,300
438,85380,353455,300
439,110888,353455,300
440,25329,353455,300
441,160365,353455,300
442,76510,353455,300
443,57353,353455,300
444,12682,353455,300
445,119574,353455,300
446,61343,353455,300
447,77180,353455,300
448,122042,353455,300
449,38586,353455,300
450,17089,333094,325
451,45908,333094,325
452,38052,333094,325
453,1566,333094,325
454,19495,333094,325
455,130616,333094,325
456,30137,333094,325
457,33977,333094,325
458,44715,333094,325
459,10744,333094,325
460,3575,333094,325
461,64037,333094,325
462,115061,333094,325
463,10918,333094,325
464,5390,333094,325
465,41599,333094,325
466,135873,333094,325
467,160422,333094,325
468,91427,333094,325
469,59294,333094,325
470,25899,333094,325
471,210981,333094,325
472,51354,333094,325
473,71274,333094,325
474,50013,333094,325
475,52740,333094,325
476,177063,333094,325
477,132167,333094,325
478,1096,333094,325
479,59339,333094,325
480,14145,333094,325
481,174936,333094,325
482,172358,333094,325
483,66820,333094,325
484,63644,333094,325
485,92440,333094,325
486,5284,333094,325
487,31464,333094,325
488,233056,333094,325
489,138547,333094,325
490,132630,333094,325
491,28344,333094,325
492,81382,333094,325
493,235305,333094,325
494,462218,333094,325
495,1464,333094,325
496,237207,333094,325
497,14977,333094,325
498,383963,333094,325
499,98078,333094,325
