,withoutThreshold,withThreshold,thresholdValue
279,10369,19374,150
280,44988,34928,150
281,85614,13222,150
282,28408,35831,150
283,80107,53401,150
284,34253,153652,150
285,41591,33383,150
286,31144,47620,150
287,16011,35831,150
288,42614,54832,150
289,10472,33383,150
290,192524,35831,150
291,52182,120717,150
292,163105,103626,150
293,15962,35831,150
294,50051,17782,150
295,80180,52364,150
296,22978,15448,150
297,8172,46462,150
298,161353,142622,150
299,153285,21802,150
300,87704,23515,160
301,38092,34543,160
302,23759,28676,160
303,17262,34543,160
304,9268,63381,160
305,35319,27285,160
306,37704,13410,160
307,66751,34543,160
308,174049,69600,160
309,102708,29316,160
310,708,18771,160
311,1302,42420,160
312,14741,92674,160
313,24724,34543,160
314,556,58702,160
315,508,79231,160
316,672,34543,160
317,50507,34543,160
318,16059,34543,160
319,9662,23515,160
320,28776,19703,160
321,9205,34543,160
322,5966,34543,160
323,61163,65124,160
324,74236,34543,160
325,94817,34543,160
326,59626,72395,160
327,104237,35909,160
328,26439,34543,160
329,90898,63381,160
330,34157,69600,160
331,40746,116809,160
332,49813,67608,160
333,50296,34543,160
334,66643,34543,160
335,9734,34543,160
336,84577,38815,160
337,42635,40676,160
338,77059,28676,160
339,153238,17169,160
340,155966,34543,160
341,10357,34543,160
342,24666,34543,160
343,31123,34543,160
344,2865,23515,160
345,121237,34543,160
346,9277,34543,160
347,143878,34543,160
348,134374,16868,160
349,98908,26436,160
350,9140,39453,170
351,29951,10599,170
352,1399,1046,170
353,20410,1046,170
354,42980,1046,170
355,28853,1066,170
356,21468,1046,170
357,37081,1046,170
358,19596,2004,170
359,32027,6194,170
360,28013,1046,170
361,63954,1046,170
362,1365,5348,170
363,44007,1046,170
364,92401,1115,170
365,1912,1046,170
366,24460,1046,170
367,11052,271,170
368,59755,271,170
369,26758,1892,170
370,16063,1046,170
371,44298,5348,170
372,3623,1046,170
373,4721,5348,170
374,6104,1892,170
375,994,271,170
376,27312,7330,170
377,32762,9533,170
378,3232,1046,170
379,21982,1046,170
380,98938,1046,170
381,86456,5348,170
382,137187,1046,170
383,15065,15288,170
384,50961,1046,170
385,30485,1184,170
386,38940,1046,170
387,594,1729,170
388,166046,1729,170
389,61446,1846,170
390,27458,1892,170
391,109628,1115,170
392,26458,5348,170
393,42852,1163,170
394,112515,13606,170
395,63774,1892,170
396,2270,15288,170
397,40319,22115,170
398,168725,1046,170
399,70375,65043,170
400,150928,95570,180
401,8564,30061,180
402,21990,30061,180
403,101761,30061,180
404,55609,54423,180
405,26632,43214,180
406,53888,36780,180
407,108055,30061,180
408,56536,30061,180
409,24451,30061,180
410,86855,30061,180
411,65117,30061,180
412,5,43214,180
413,95279,30061,180
414,12686,7255,180
415,17725,30061,180
416,98734,11365,180
417,28177,30061,180
418,105264,75042,180
419,70188,30061,180
420,84010,30061,180
421,43016,129423,180
422,38267,43263,180
423,36827,30061,180
424,14888,30061,180
425,131379,65455,180
426,120750,30061,180
427,20085,7255,180
428,9830,30061,180
429,82558,95570,180
430,91912,30061,180
431,3217,30061,180
432,11981,43263,180
433,26106,30061,180
434,7410,30061,180
435,56559,30061,180
436,26873,30061,180
437,4299,1628,180
438,31183,30061,180
439,32707,30061,180
440,64388,30061,180
441,53665,65455,180
442,148,30061,180
443,60818,59192,180
444,16571,30061,180
445,167850,30061,180
446,21507,43263,180
447,2564,114783,180
448,117421,30061,180
449,72710,30061,180
450,91796,38409,190
451,41865,6928,190
452,89813,6928,190
453,97349,6928,190
454,70146,6928,190
455,14656,6928,190
456,31917,5514,190
457,94208,6928,190
458,102737,6928,190
459,43920,49849,190
460,44833,6928,190
461,19066,6928,190
462,2743,6928,190
463,3011,6928,190
464,23172,5514,190
465,79717,6928,190
466,79450,6928,190
467,90704,6928,190
468,20120,39626,190
469,11711,6928,190
470,153615,6928,190
471,76398,6928,190
472,14972,38409,190
473,142886,6928,190
474,1643,6928,190
475,35236,6928,190
476,103703,6928,190
477,62546,6928,190
478,4590,4212,190
479,53612,6928,190
480,24129,7433,190
481,20793,38409,190
482,4991,6928,190
483,104889,6928,190
484,7433,6928,190
485,12507,6928,190
486,20065,4212,190
487,91387,6928,190
488,4925,6928,190
489,13836,6928,190
490,8456,6928,190
491,72398,5514,190
492,11041,6928,190
493,7296,6928,190
494,20466,6928,190
495,106473,6928,190
496,31594,38409,190
497,31976,6928,190
498,150013,6928,190
499,32330,38409,190
500,70520,73609,200
501,34657,73609,200
502,6045,73609,200
503,141510,73609,200
504,5535,73609,200
505,122258,73609,200
506,88607,61314,200
507,50157,61314,200
508,3971,73609,200
509,46306,73609,200
510,4338,73609,200
511,127297,73609,200
512,33701,73609,200
513,18066,73609,200
514,50818,73609,200
515,140107,73609,200
516,18436,73609,200
517,19077,73609,200
518,61804,73609,200
519,25904,73609,200
520,61269,73609,200
521,9649,73609,200
522,12161,73609,200
523,66837,73609,200
524,33912,73609,200
525,855,73609,200
526,41166,73609,200
527,289,73609,200
528,13902,120348,200
529,24212,73609,200
530,34804,73609,200
531,85106,73609,200
532,50396,73609,200
533,23942,73609,200
534,26297,73609,200
535,12093,73609,200
536,75117,73609,200
537,16226,73609,200
538,272,73609,200
539,201632,73609,200
540,34182,73609,200
541,52368,73609,200
542,100906,73609,200
543,52110,172597,200
544,39116,73609,200
545,101586,73609,200
546,1088,73609,200
547,53742,73609,200
548,31518,73609,200
549,27071,73609,200
550,138823,112273,210
551,93928,112273,210
552,120032,112273,210
553,7426,112273,210
554,6082,112273,210
555,13231,112273,210
556,201648,112273,210
557,58578,112273,210
558,26435,112273,210
559,28581,112273,210
560,2360,112273,210
561,18535,112273,210
562,60467,112273,210
563,24698,112273,210
564,215118,112273,210
565,120097,112273,210
566,15081,112273,210
567,31965,112273,210
568,9579,112273,210
569,12402,112273,210
570,79114,112273,210
571,2322,112273,210
572,55508,112273,210
573,71391,112273,210
574,30552,112273,210
575,84100,112273,210
576,12740,112273,210
577,2947,112273,210
578,58846,112273,210
579,31046,112273,210
580,44261,112273,210
581,2665,112273,210
582,103508,112273,210
583,177990,112273,210
584,18204,112273,210
585,21410,112273,210
586,183126,112273,210
587,89882,112273,210
588,14091,112273,210
589,11355,112273,210
590,34253,112273,210
591,53920,112273,210
592,24861,112273,210
593,81965,112273,210
594,180244,112273,210
595,118332,112273,210
596,128005,112273,210
597,28990,112273,210
598,75372,112273,210
599,84706,112273,210
600,9299,215280,220
601,150142,215280,220
602,56158,215280,220
603,77975,215280,220
604,31020,215280,220
605,64137,215280,220
606,86626,215280,220
607,34633,215280,220
608,126754,215280,220
609,37035,215280,220
610,26170,215280,220
611,65102,215280,220
612,1887,215280,220
613,17033,215280,220
614,4633,215280,220
615,43781,215280,220
616,50722,215280,220
617,46289,215280,220
618,9483,215280,220
619,54388,215280,220
620,122390,215280,220
621,2223,215280,220
622,12190,215280,220
623,114961,215280,220
624,1637,215280,220
625,32280,215280,220
626,112094,215280,220
627,72598,215280,220
628,12935,215280,220
629,17094,215280,220
630,2052,215280,220
631,24769,215280,220
632,107989,215280,220
633,52016,215280,220
634,687,215280,220
635,144667,215280,220
636,6109,215280,220
637,91453,215280,220
638,68861,215280,220
639,801,215280,220
640,76822,215280,220
641,8537,215280,220
642,1301,215280,220
643,29024,215280,220
644,2703,215280,220
645,53706,215280,220
646,98293,215280,220
647,10865,215280,220
648,10417,215280,220
649,16444,215280,220
650,13655,188869,230
651,28259,188869,230
652,7147,188869,230
653,52946,188869,230
654,54780,188869,230
655,89393,188869,230
656,34665,188869,230
657,16600,188869,230
658,104312,188869,230
659,2681,188869,230
660,8144,188869,230
661,8676,188869,230
662,7441,188869,230
663,48588,188869,230
664,9217,188869,230
665,152680,188869,230
666,15277,188869,230
667,71161,188869,230
668,20874,188869,230
669,1287,188869,230
670,166764,188869,230
671,35189,188869,230
672,160457,188869,230
673,29790,188869,230
674,15495,188869,230
675,27273,188869,230
676,79013,188869,230
677,1517,188869,230
678,28348,188869,230
679,9255,188869,230
680,48250,188869,230
681,52537,188869,230
682,69699,188869,230
683,73195,188869,230
684,51292,188869,230
685,52243,188869,230
686,198669,188869,230
687,8963,188869,230
688,7918,188869,230
689,40495,188869,230
690,17346,188869,230
691,2495,188869,230
692,19978,188869,230
693,6651,188869,230
694,20001,188869,230
695,40886,188869,230
696,84,188869,230
697,58132,188869,230
698,20739,188869,230
699,29717,188869,230
700,30216,226026,240
701,42100,226026,240
702,114007,226026,240
703,46990,226026,240
704,7762,226026,240
705,2340,226026,240
706,11273,226026,240
707,28440,226026,240
708,4671,226026,240
709,41198,226026,240
710,18009,226026,240
711,40802,226026,240
712,49467,226026,240
713,24997,226026,240
714,31346,226026,240
715,49175,226026,240
716,78892,226026,240
717,11663,226026,240
718,43306,226026,240
719,7379,226026,240
720,43792,226026,240
721,4693,226026,240
722,38812,226026,240
723,163120,226026,240
724,56737,226026,240
725,101795,226026,240
726,16354,226026,240
727,182862,226026,240
728,3697,226026,240
729,75545,226026,240
730,8646,226026,240
731,95368,226026,240
732,50825,226026,240
733,76156,226026,240
734,60875,226026,240
735,19660,226026,240
736,104836,226026,240
737,104209,226026,240
738,19897,226026,240
739,23768,226026,240
740,33721,226026,240
741,4771,226026,240
742,12135,226026,240
743,18213,226026,240
744,115355,226026,240
745,28960,226026,240
746,100788,226026,240
747,161395,226026,240
748,7408,226026,240
749,38948,226026,240
750,23156,175710,250
751,12039,175710,250
752,169376,175710,250
753,7142,175710,250
754,66545,175710,250
755,31608,175710,250
756,30881,175710,250
757,26961,175710,250
758,69481,175710,250
759,32031,175710,250
760,88359,175710,250
761,71111,175710,250
762,43747,175710,250
763,27853,175710,250
764,52709,175710,250
765,125,175710,250
766,10204,175710,250
767,58426,175710,250
768,29570,175710,250
769,3559,175710,250
770,37666,175710,250
771,53598,175710,250
772,35851,175710,250
773,134376,175710,250
774,17027,175710,250
775,34981,175710,250
776,74626,175710,250
777,24546,175710,250
778,53501,175710,250
779,8696,175710,250
780,11495,175710,250
781,9886,175710,250
782,143227,175710,250
783,831,175710,250
784,103050,175710,250
785,1615,175710,250
786,8264,175710,250
787,44333,175710,250
788,68000,175710,250
789,34307,175710,250
790,3572,175710,250
791,4568,175710,250
792,105463,175710,250
793,6815,175710,250
794,187219,175710,250
795,5680,175710,250
796,38080,175710,250
797,45814,175710,250
798,132256,175710,250
799,91414,175710,250
800,103418,180404,260
801,28995,180404,260
802,106413,180404,260
803,93005,180404,260
804,67323,180404,260
805,6116,180404,260
806,5244,180404,260
807,41171,180404,260
808,32821,180404,260
809,101056,180404,260
810,35257,180404,260
811,5465,180404,260
812,199,180404,260
813,45771,180404,260
