,withoutThreshold,withThreshold,thresholdValue
28,6728,10315,150
29,643,119219,150
30,6860,189068,150
31,2411,35424,150
32,52051,83850,150
33,4181,32031,150
34,324,6481,150
35,120554,33047,150
36,4272,17503,150
37,13370,127518,150
38,568,40851,150
39,1461,7605,150
40,21125,91858,150
41,29,144681,150
42,21343,41322,150
43,2361,38789,150
44,345,7856,150
45,3098,78503,150
46,635,59049,150
47,167708,98079,150
48,1429,33264,150
49,328,131567,150
50,25996,37564,175
51,133166,45743,175
52,19627,13685,175
53,37650,42464,175
54,121132,2550,175
55,5253,95362,175
56,26420,5760,175
57,25401,115087,175
58,302,42268,175
59,1324,45024,175
60,2036,12984,175
61,1645,11441,175
62,39359,62220,175
63,6764,30352,175
64,7197,17568,175
65,89,45992,175
66,184,73997,175
67,1097,2957,175
68,26633,62701,175
69,58,53650,175
70,24341,49612,175
71,19344,92633,175
72,573,41373,175
73,3332,57154,175
74,2552,84123,175
75,71045,43522,175
76,13959,4833,175
77,33799,63772,175
78,30464,94175,175
79,107541,65430,175
80,983,8215,175
81,5606,22128,175
82,54546,34971,175
83,330,26578,175
84,16078,67071,175
85,484,54468,175
86,1496,120618,175
87,13257,62045,175
88,27,84685,175
89,138,7765,175
90,19830,122264,175
91,327,50823,175
92,28546,63167,175
93,1519,10930,175
94,50,60100,175
95,11497,6300,175
96,14373,9176,175
97,439,89817,175
98,230,76654,175
99,119833,77521,175
100,5647,55560,200
101,3985,153115,200
102,19980,176844,200
103,4577,196837,200
104,35912,118605,200
105,37,47296,200
106,1097,29203,200
107,8456,6494,200
108,656,89440,200
109,138,47296,200
110,76651,123661,200
111,1253,4829,200
112,30292,6003,200
113,977,118605,200
114,7047,42919,200
115,5900,25735,200
116,15,118605,200
117,92,12422,200
118,6168,43530,200
119,2381,19575,200
120,3411,47448,200
121,38219,831,200
122,62140,37172,200
123,13956,104183,200
124,40512,45884,200
125,956,39709,200
126,71374,47296,200
127,679,186490,200
128,24587,121549,200
129,27780,170423,200
130,711,12976,200
131,3160,118605,200
132,47156,138913,200
133,75,42270,200
134,20979,139184,200
135,14764,19475,200
136,18620,42270,200
137,3259,42270,200
138,137868,110160,200
139,26744,47296,200
140,3527,1605,200
141,650,39385,200
142,97026,30229,200
143,18580,135300,200
144,20241,2053,200
145,9084,40437,200
146,6509,100888,200
147,49,6390,200
148,243,47296,200
149,1420,10696,200
150,10043,89322,225
151,7465,11239,225
152,1765,69527,225
153,1426,48876,225
154,254,21377,225
155,21703,22139,225
156,83768,136516,225
157,9627,85033,225
158,29744,88832,225
159,36243,81665,225
160,13534,85033,225
161,7495,98049,225
162,402,85033,225
163,72846,85033,225
164,9525,48935,225
165,13252,85033,225
166,8563,50459,225
167,2273,87584,225
168,27484,87584,225
169,30966,21377,225
170,5440,62822,225
171,154,207195,225
172,285,85033,225
173,64362,59943,225
174,6244,122181,225
175,16,125101,225
176,83769,85033,225
177,196118,85033,225
178,26397,13591,225
179,271,74630,225
180,3229,68934,225
181,53595,85033,225
182,135,90809,225
183,18479,69638,225
184,132867,32273,225
185,3764,124455,225
186,1759,85033,225
187,2350,85033,225
188,3919,173875,225
189,42008,44392,225
190,2698,55541,225
191,63951,85033,225
192,2266,85033,225
193,6256,20999,225
194,41162,136201,225
195,3475,21377,225
196,20327,85033,225
197,4158,85033,225
198,1561,85033,225
199,1399,85033,225
200,2481,101008,250
201,76120,116963,250
202,14239,101008,250
203,4874,101008,250
204,293,127878,250
205,16561,205241,250
206,4550,116963,250
